TYPE	ARG1 NORMALIZATION	ARG2 NORMALIZATION
Interacts_With	AT2G45640	AT2G22540
Interacts_With	AT1G69120	AT1G43850
Interacts_With	AT1G24260	AT1G43850
Interacts_With	AT2G45640	AT5G13790
Interacts_With	AT2G45640	AT4G24540
Interacts_With	AT2G45640	AT1G50640
Interacts_With	AT5G13790	AT2G45640
Interacts_With	AT2G45640	AT5G63110
Interacts_With	AT2G45640	AT3G15210
Interacts_With	AT5G13790	AT2G45640
Regulates_Expression_Of	AT3G57390	AT4G25470
Regulates_Expression_Of	AT5G13790	AT5G13790
Conditional_Binds_To	AT5G13790	AT1G24260
Conditional_Binds_To	AT5G13790	AT3G57390
Conditional_Binds_To	AT5G13790	AT1G24260
Conditional_Binds_To	AT5G13790	AT1G69120
Conditional_Binds_To	AT2G45640	AT3G57390
Conditional_Binds_To	AT5G13790	AT4G25470
Conditional_Regulates_Activity_Of	AT5G13790	AT3G57390
Conditional_Regulates_Activity_Of	AT5G13790	AT4G25470
Conditional_Interacts_With	AT2G45640	AT1G50640
Conditional_Interacts_With	AT2G45640	AT2G22540
Conditional_Interacts_With	AT5G13790	AT2G45640
Regulates_Expression_Of	AT1G09540	AT1G53500
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT4G36920	AT2G37260
Regulates_Expression_Of	AT1G63650	AT1G79840
Regulates_Expression_Of	AT4G36920	AT5G24520
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT1G79840	AT1G53500
Regulates_Expression_Of	AT4G36920	AT1G53500
Regulates_Expression_Of	AT4G36920	AT2G37260
Regulates_Expression_Of	AT1G63650	AT1G79840
Regulates_Expression_Of	AT1G79840	AT1G53500
Regulates_Expression_Of	AT4G09820	AT2G37260
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT4G36920	AT1G09540
Regulates_Expression_Of	AT1G79840	AT1G53500
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT4G36920	AT1G53500
Regulates_Expression_Of	AT4G09820	AT1G79840
Regulates_Expression_Of	AT2G37260	AT1G53500
Regulates_Expression_Of	AT5G24520	AT1G53500
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT5G24520	AT1G53500
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT4G36920	AT1G79840
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT1G79840	AT1G53500
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT4G36920	AT1G53500
Regulates_Expression_Of	AT1G79840	AT1G53500
Regulates_Expression_Of	AT5G24520	AT1G53500
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT5G24520	AT2G37260
Regulates_Expression_Of	AT5G24520	AT1G79840
Regulates_Expression_Of	AT4G36920	AT1G79840
Interacts_With	AT4G09820	AT4G36920
Interacts_With	AT4G09820	AT5G24520
Interacts_With	AT4G36920	AT5G24520
Interacts_With	AT1G63650	AT5G24520
Interacts_With	AT4G09820	AT5G24520
Interacts_With	AT5G24520	AT5G41315
Interacts_With	AT1G63650	AT4G36920
Conditional_Regulates_Expression_Of	AT1G09540	AT1G53500
Conditional_Regulates_Expression_Of	AT5G24520	AT1G79840
Conditional_Regulates_Expression_Of	AT4G36920	AT2G37260
Conditional_Regulates_Expression_Of	AT5G24520	AT2G37260
Conditional_Regulates_Expression_Of	AT1G79840	AT1G53500
Conditional_Regulates_Expression_Of	AT5G24520	AT2G37260
Conditional_Regulates_Expression_Of	AT5G24520	AT1G79840
Conditional_Regulates_Expression_Of	AT4G36920	AT1G53500
Conditional_Regulates_Expression_Of	AT2G37260	AT1G53500
Conditional_Regulates_Expression_Of	AT5G24520	AT1G53500
Conditional_Regulates_Expression_Of	AT5G24520	AT2G37260
Conditional_Regulates_Expression_Of	AT5G24520	AT1G53500
Conditional_Regulates_Expression_Of	AT5G24520	AT2G37260
Conditional_Regulates_Expression_Of	AT5G24520	AT1G79840
Conditional_Regulates_Expression_Of	AT4G36920	AT1G53500
Conditional_Regulates_Expression_Of	AT1G79840	AT1G53500
Conditional_Regulates_Expression_Of	AT5G24520	AT2G37260
Conditional_Regulates_Expression_Of	AT5G24520	AT1G79840
Conditional_Regulates_Expression_Of	AT5G24520	AT2G37260
Conditional_Regulates_Expression_Of	AT4G36920	AT1G79840
Conditional_Interacts_With	AT4G09820	AT5G24520
Conditional_Interacts_With	AT1G63650	AT5G24520
Interacts_With	AT4G26080	AT2G36270
Interacts_With	AT4G26080	AT2G40220
Interacts_With	AT2G36270	AT3G24650
Interacts_With	AT2G36270	AT2G36270
Interacts_With	AT3G24650	AT2G36270
Interacts_With	AT2G36270	AT2G36270
Interacts_With	AT2G36270	AT3G24650
Interacts_With	AT2G40220	AT2G36270
Interacts_With	AT2G36270	AT3G24650
Interacts_With	AT2G40220	AT2G40220
Interacts_With	AT3G24650	AT2G36270
Interacts_With	AT2G36270	AT3G24650
Binds_To	AT2G36270	AT2G36270
Conditional_Interacts_With	AT2G36270	AT3G24650
Conditional_Interacts_With	AT3G24650	AT2G36270
Conditional_Interacts_With	AT2G36270	AT2G36270
Conditional_Binds_To	AT2G36270	AT2G36270
Regulates_Expression_Of	AT3G54320	AT5G15530
Conditional_Regulates_Expression_Of	AT3G54320	AT5G15530
Interacts_With	AT3G09840	AT1G71830
Interacts_With	AT4G39400	AT1G71830
Interacts_With	AT4G39400	AT4G33430
Interacts_With	AT1G71830	AT5G19280
Interacts_With	AT1G71830	AT4G39400
Interacts_With	AT5G19280	AT4G28490
Interacts_With	AT5G19280	AT1G75820
Interacts_With	AT4G33430	AT4G39400
Interacts_With	AT1G71830	AT4G33430
Interacts_With	AT4G33430	AT4G39400
Interacts_With	AT1G71830	AT4G39400
Interacts_With	AT1G71830	AT5G19280
Interacts_With	AT5G19280	AT5G46330
Interacts_With	AT1G71830	AT4G39400
Interacts_With	AT1G71830	AT4G33430
Regulates_Activity_Of	AT5G19280	AT1G75820
Regulates_Activity_Of	AT5G19280	AT5G46330
Binds_To	AT1G71830	AT4G39400
Binds_To	AT4G33430	AT4G39400
Binds_To	AT1G71830	AT1G71830
Binds_To	AT3G27310	AT3G09840
Binds_To	AT4G24540	AT5G67280
Binds_To	AT4G39400	AT4G39400
Binds_To	AT4G39400	AT1G71830
Binds_To	AT3G09840	AT3G09840
Conditional_Interacts_With	AT3G09840	AT1G71830
Conditional_Interacts_With	AT4G39400	AT1G71830
Conditional_Interacts_With	AT4G39400	AT4G33430
Conditional_Interacts_With	AT1G71830	AT4G39400
Conditional_Interacts_With	AT4G33430	AT4G39400
Conditional_Interacts_With	AT1G71830	AT4G39400
Conditional_Interacts_With	AT1G71830	AT5G19280
Conditional_Binds_To	AT1G71830	AT1G71830
Conditional_Binds_To	AT4G24540	AT5G67280
Conditional_Binds_To	AT4G39400	AT4G39400
Conditional_Binds_To	AT4G39400	AT1G71830
